Group,Sex,Age_Group,MetS_Status,Food,Risk_Score,Direct_Effect,Network_Centrality,Indirect_Effect,Degree_Centrality,Betweenness_Centrality,Current_Intake,N_Connections,Food_Category
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Fruits,0.4427046854132016,0.04077711336664988,0.9090909090909092,0.5122218911308963,0.9090909090909092,0.011305916305916305,2.0048553937090987,10,Healthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Fried Foods,0.5314273174900941,0.02394387832811204,0.8181818181818182,0.9213174023476797,0.8181818181818182,0.008708513708513707,1.3681655055942579,9,Unhealthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),High Fat Meat,0.4665363867153487,0.04595550351957063,0.8181818181818182,0.6756654661765835,0.8181818181818182,0.0061111111111111106,1.5408486383787208,9,Unhealthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Processed Foods,0.6141458343160655,0.03536458579016384,1.0,1.0,1.0,0.0155988455988456,1.424741397508972,11,Unhealthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Sugar-Sweetened Beverages,0.5262178948435164,0.05032854824468893,0.9090909090909092,0.7778640093945604,0.9090909090909092,0.013780663780663779,1.4340299767785518,10,Unhealthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Additional Salt Use,0.5138206515271531,0.039501369774249916,0.9090909090909092,0.7509761029672676,0.9090909090909092,0.008131313131313132,1.445429596791218,10,Unhealthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Salty Food Consumption,0.5282544287963986,0.05351935389095169,1.0,0.6894889574667264,1.0,0.0155988455988456,1.7156428119062699,11,Unhealthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Sweet Food Consumption,0.519112214613615,0.051198167132940675,1.0,0.6621098258681293,1.0,0.0155988455988456,2.004222081486173,11,Healthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Grain Products,0.28247696278998763,0.0060606324258167385,0.6666666666666666,0.2668423660655366,0.5454545454545454,0.030606060606060605,2.0918992511912866,6,Healthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Protein Foods,0.33888859710980834,0.024238775765999396,0.6666666666666666,0.4306436226780288,0.5454545454545454,0.020303030303030302,3.017018379850238,6,Healthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Vegetables,0.5173834665259921,0.016809476197406727,1.0,0.7021989201567647,0.8181818181818182,0.05666666666666668,2.730088495575221,9,Healthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Dairy Products,0.3690383966425218,0.026327969317103038,0.7777777777777777,0.4172462519411578,0.6363636363636364,0.027575757575757576,1.7402995234853642,7,Healthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Fruits,0.3371048317119715,0.046176165812760815,0.6666666666666666,0.39544788462289066,0.5454545454545454,0.02333333333333333,1.9108236895847515,6,Healthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Fried Foods,0.538798229136189,0.050716808950588124,0.8888888888888888,0.8394827962976235,0.7272727272727273,0.03303030303030302,1.407420013614704,8,Unhealthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),High Fat Meat,0.46303937978625415,0.036675747626282534,0.7777777777777777,0.7167858246746929,0.6363636363636364,0.03454545454545454,1.6255956432947583,7,Unhealthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Processed Foods,0.5865323594372107,0.049664231926360006,0.8888888888888888,1.0,0.7272727272727273,0.03272727272727273,1.5098706603131382,8,Unhealthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Sugar-Sweetened Beverages,0.5606738464744254,0.07251844564214256,1.0,0.7722215607252282,0.8181818181818182,0.045151515151515144,1.491490810074881,9,Unhealthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Additional Salt Use,0.39589587632472584,0.033014994814541,0.7777777777777777,0.49785515021858723,0.6363636363636364,0.02606060606060606,1.5095302927161334,7,Unhealthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Salty Food Consumption,0.4088887845428858,0.03701045388559507,0.7777777777777777,0.5358375655177149,0.6363636363636364,0.03212121212121212,1.8471749489448603,7,Unhealthy
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Sweet Food Consumption,0.5246576698509715,0.0494398878742332,0.8888888888888888,0.7940501601153721,0.7272727272727273,0.03787878787878788,1.9673247106875424,8,Healthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Grain Products,0.3062028951973683,0.0159372346946441,0.6363636363636364,0.3630630347013992,0.6363636363636364,0.00487012987012987,2.0520047637951566,7,Healthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Protein Foods,0.5846294616549399,0.02975547231916776,0.9090909090909092,1.0,0.9090909090909092,0.02582251082251082,2.9408495434696307,10,Healthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Vegetables,0.5195671811686785,0.038361980590986985,0.8181818181818182,0.8625594782591275,0.8181818181818182,0.010678210678210676,2.556570067487098,9,Healthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Dairy Products,0.3595266822591503,0.037925536630715254,0.7272727272727273,0.4205821647501534,0.7272727272727273,0.00202020202020202,1.8856689162366018,8,Healthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Fruits,0.45848720760531586,0.02855283275436148,0.9090909090909092,0.5811293392543284,0.9090909090909092,0.01857864357864358,1.796347757046447,10,Healthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Fried Foods,0.482642076964256,0.035478173010336275,0.9090909090909092,0.6524117834428291,0.9090909090909092,0.022972582972582967,1.4386661373560936,10,Unhealthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),High Fat Meat,0.3949744805087129,0.04141144362529007,0.6363636363636364,0.62500270716502,0.6363636363636364,0.004292929292929293,1.5291782453354505,7,Unhealthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Processed Foods,0.5736974932473148,0.027673940531482866,1.0,0.8754263901157389,1.0,0.030873015873015868,1.6578007145692735,11,Unhealthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Sugar-Sweetened Beverages,0.3934816853425772,0.021038539069093067,0.8181818181818182,0.4653724142013152,0.8181818181818182,0.016558441558441557,1.5192536720921,9,Unhealthy
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Additional Salt Use,0.3631003614138498,0.011556623150958453,0.7272727272727273,0.4676529799054943,0.7272727272727273,0.01388167388167388,1.5907105994442239,8,Unhealthy
