Group,Sex,Age_Group,MetS_Status,Food,Direct_Effect,Degree_Centrality,Betweenness_Centrality,Indirect_Effect,Current_Intake
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Fried Foods,0.050716808950588124,0.7272727272727273,0.03303030303030302,0.8394827962976235,1.407420013614704
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),High Fat Meat,0.036675747626282534,0.6363636363636364,0.03454545454545454,0.7167858246746929,1.6255956432947583
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Processed Foods,0.049664231926360006,0.7272727272727273,0.03272727272727273,1.0,1.5098706603131382
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Sugar-Sweetened Beverages,0.07251844564214256,0.8181818181818182,0.045151515151515144,0.7722215607252282,1.491490810074881
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Additional Salt Use,0.033014994814541,0.6363636363636364,0.02606060606060606,0.49785515021858723,1.5095302927161334
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Salty Food Consumption,0.03701045388559507,0.6363636363636364,0.03212121212121212,0.5358375655177149,1.8471749489448603
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),Sweet Food Consumption,0.0494398878742332,0.7272727272727273,0.03787878787878788,0.7940501601153721,1.9673247106875424
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Grain Products,0.0159372346946441,0.6363636363636364,0.00487012987012987,0.3630630347013992,2.0520047637951566
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Protein Foods,0.02975547231916776,0.9090909090909092,0.02582251082251082,1.0,2.9408495434696307
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Vegetables,0.038361980590986985,0.8181818181818182,0.010678210678210676,0.8625594782591275,2.556570067487098
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Dairy Products,0.037925536630715254,0.7272727272727273,0.00202020202020202,0.4205821647501534,1.8856689162366018
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Fruits,0.02855283275436148,0.9090909090909092,0.01857864357864358,0.5811293392543284,1.796347757046447
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Fried Foods,0.035478173010336275,0.9090909090909092,0.022972582972582967,0.6524117834428291,1.4386661373560936
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),High Fat Meat,0.04141144362529007,0.6363636363636364,0.004292929292929293,0.62500270716502,1.5291782453354505
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Processed Foods,0.027673940531482866,1.0,0.030873015873015868,0.8754263901157389,1.6578007145692735
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Sugar-Sweetened Beverages,0.021038539069093067,0.8181818181818182,0.016558441558441557,0.4653724142013152,1.5192536720921
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Additional Salt Use,0.011556623150958453,0.7272727272727273,0.01388167388167388,0.4676529799054943,1.5907105994442239
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Salty Food Consumption,0.032334487520012875,1.0,0.030873015873015868,0.543200577016207,1.687574434299325
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),Sweet Food Consumption,0.023663438003016853,0.9090909090909092,0.018578643578643573,0.4632356478471745,2.2941643509329097
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Grain Products,0.0267366595840201,1.0,0.04071428571428571,0.5959406932004155,2.0417727967396844
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Protein Foods,0.03130364533470853,0.6363636363636364,0.00883116883116883,0.9297696296349581,3.1349974528782476
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Vegetables,0.03611032685276273,1.0,0.04071428571428571,1.0,2.597045338767193
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Dairy Products,0.0314657432022211,0.7272727272727273,0.01564935064935065,0.5288573681563292,1.7773815588385125
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Fruits,0.04805812360920933,0.7272727272727273,0.010822510822510822,0.5266940093800364,1.5792154865002548
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Fried Foods,0.028732948622506787,0.8181818181818182,0.02099567099567099,0.8016627081677445,1.6225165562913908
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),High Fat Meat,0.04888939510381761,0.8181818181818182,0.017164502164502164,0.7264572320474231,1.837493632195619
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Processed Foods,0.025078581263190132,0.9090909090909092,0.026904761904761904,0.979126798723391,1.7600611309220582
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Sugar-Sweetened Beverages,0.027129565045222476,0.8181818181818182,0.01807359307359307,0.6252564810852204,1.9215486500254713
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Additional Salt Use,0.04878140614584384,0.6363636363636364,0.005627705627705627,0.8121986500957553,1.6602139582272033
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Salty Food Consumption,0.05942317511889054,0.9090909090909092,0.025995670995670992,0.9203906837637187,1.8028527763627102
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),Sweet Food Consumption,0.023855190596168353,0.6363636363636364,0.00487012987012987,0.42686772973279147,2.149770759042282
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Grain Products,0.041312076458511045,0.6363636363636364,0.03454545454545454,0.4072197354722274,2.2805100182149363
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Protein Foods,0.036499233755032064,0.6363636363636364,0.03787878787878788,1.0,3.0081967213114753
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Vegetables,0.03443854432047458,0.6363636363636364,0.02727272727272727,0.7584085625906853,2.898907103825137
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Dairy Products,0.04308422951025064,0.5454545454545454,0.02666666666666667,0.3774625177487424,1.9326047358834244
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Fruits,0.041753838556471704,0.7272727272727273,0.04121212121212121,0.5587034368688325,2.366120218579235
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Fried Foods,0.020311095683404765,0.5454545454545454,0.020606060606060603,0.5502805801462237,1.1939890710382515
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),High Fat Meat,0.030892249593086556,0.7272727272727273,0.04,0.6190133238606554,1.3743169398907105
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Processed Foods,0.03621346719319973,0.7272727272727273,0.03939393939393939,0.6036658863708682,1.1958105646630237
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Sugar-Sweetened Beverages,0.013745940058218803,0.7272727272727273,0.04393939393939394,0.6632920957853201,1.2322404371584699
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Additional Salt Use,0.05941088483008007,0.6363636363636364,0.03848484848484848,0.494621172787708,1.4007285974499089
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Salty Food Consumption,0.02769282190278145,0.6363636363636364,0.0303030303030303,0.956856960859648,1.6420765027322404
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),Sweet Food Consumption,0.04155922223877936,0.6363636363636364,0.03787878787878788,0.5895318199992807,1.849726775956284
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Grain Products,0.027657594405942426,0.6363636363636364,0.008708513708513707,0.42210242023813566,2.23625843780135
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Protein Foods,0.031284613694306254,0.9090909090909092,0.03271284271284271,0.8505298313143814,2.9710703953712634
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Vegetables,0.019559679783791258,0.8181818181818182,0.02072150072150072,0.7312643685868517,2.953712632594021
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Dairy Products,0.038365523709932334,0.6363636363636364,0.006111111111111111,0.5080886742474569,2.137897782063645
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Fruits,0.03099305166532864,0.9090909090909092,0.026024531024531023,0.5698793866471541,2.595949855351977
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Fried Foods,0.02783231025477692,0.7272727272727273,0.015093795093795093,0.7210552881848988,1.2005785920925747
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),High Fat Meat,0.035453887200371355,0.8181818181818182,0.017972582972582973,0.5956985801927241,1.218900675024108
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Processed Foods,0.03943559927102309,0.8181818181818182,0.013578643578643579,0.7179126359653453,1.1436837029893925
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Sugar-Sweetened Beverages,0.0370374316138033,0.7272727272727273,0.00896103896103896,0.4726701873308037,1.0916104146576664
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Additional Salt Use,0.05487299055459668,0.9090909090909092,0.03271284271284271,0.8211928060687244,1.3809064609450337
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Salty Food Consumption,0.051971851729341975,0.8181818181818182,0.023852813852813848,1.0,1.5467695274831244
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),Sweet Food Consumption,0.05102317807156662,0.9090909090909092,0.02991341991341991,0.647861386266214,1.8852459016393444
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Grain Products,0.023465257645975852,0.7272727272727273,0.014913419913419912,0.3748010103623869,2.2270147559591376
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Protein Foods,0.023257908090532832,0.7272727272727273,0.0229004329004329,0.8646063464723908,2.9625425652667423
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Vegetables,0.06507487063951463,0.7272727272727273,0.011233766233766233,0.6182920299974655,2.753688989784336
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Dairy Products,0.04098928711197301,0.8181818181818182,0.017186147186147183,0.5100372223129092,1.9307604994324632
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Fruits,0.03832139242814302,0.9090909090909092,0.03781385281385281,0.707458737070365,2.3598183881952326
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Fried Foods,0.027998400117873967,0.9090909090909092,0.03173160173160173,0.7579277719385867,1.2338251986379114
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),High Fat Meat,0.021907773831734166,0.5454545454545454,0.006688311688311689,0.5321476806497663,1.3813847900113507
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Processed Foods,0.04195415585320737,0.8181818181818182,0.025216450216450213,0.8273085331568277,1.2599318955732122
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Sugar-Sweetened Beverages,0.047008926752337976,0.9090909090909092,0.03781385281385281,0.6329729756461018,1.2860385925085132
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Additional Salt Use,0.05799197552402911,0.7272727272727273,0.00896103896103896,0.7930528335861927,1.5051078320090805
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Salty Food Consumption,0.04689883271271075,0.8181818181818182,0.0229004329004329,1.0,1.7650397275822929
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Sweet Food Consumption,0.03520924921261672,0.8181818181818182,0.017186147186147183,0.8582157359623571,1.8989784335981839
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Grain Products,0.03470633052933993,0.7272727272727273,0.01712121212121212,0.41369760762424,2.1226912928759893
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Protein Foods,0.03603732896611187,0.9090909090909092,0.046911976911976905,0.9332325853599509,2.9472295514511875
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Vegetables,0.03782482089819077,0.5454545454545454,0.0127994227994228,0.6876286222650964,2.7651715039577835
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Dairy Products,0.04422463982837359,0.4545454545454546,0.00505050505050505,0.33597651897710085,1.8614775725593669
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Fruits,0.054171438381771866,0.8181818181818182,0.0475974025974026,0.6732311130817527,2.241424802110818
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Fried Foods,0.06526162700233328,0.6363636363636364,0.004292929292929293,0.8964374099959352,1.3931398416886545
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),High Fat Meat,0.03613151703781641,0.8181818181818182,0.012518037518037517,0.8284214255072936,1.3746701846965699
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Processed Foods,0.04854436375328635,0.7272727272727273,0.010245310245310245,1.0,1.437994722955145
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Sugar-Sweetened Beverages,0.06261993202735766,0.9090909090909092,0.040396825396825396,0.794107562938657,1.274406332453826
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Additional Salt Use,0.021165585962702273,0.9090909090909092,0.055173160173160166,0.3694231896018305,1.4063324538258575
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Salty Food Consumption,0.01830053161366174,0.7272727272727273,0.006890331890331889,0.48663731625268447,1.6596306068601583
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Sweet Food Consumption,0.0685597822175324,0.9090909090909092,0.03191197691197691,0.8050912689733524,2.0606860158311346
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Grain Products,0.03632205115555137,0.36363636363636365,0.00303030303030303,0.31717898215899565,2.217391304347826
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Protein Foods,0.015682146032421677,0.7272727272727273,0.042121212121212115,1.0,2.851170568561873
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Vegetables,0.029694845758115963,0.5454545454545454,0.017045454545454544,0.5556485922241823,2.8779264214046822
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Dairy Products,0.034022985310087336,0.7272727272727273,0.042121212121212115,0.4163680028223337,2.0551839464882944
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Fruits,0.026523946777596875,0.7272727272727273,0.04151515151515151,0.4740395480402555,2.4899665551839463
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Fried Foods,0.026190517384806634,0.5454545454545454,0.01636363636363636,0.7755796210741254,1.1923076923076923
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),High Fat Meat,0.015363231134997855,0.5454545454545454,0.02712121212121212,0.5607946981558265,1.225752508361204
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Processed Foods,0.04138568737877541,0.9090909090909092,0.09636363636363635,0.7586148109539455,1.1638795986622072
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Sugar-Sweetened Beverages,0.027023357092102684,0.5454545454545454,0.012954545454545453,0.399283882084037,1.12876254180602
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Additional Salt Use,0.01831927483320169,0.4545454545454546,0.012954545454545453,0.5454097691955996,1.4682274247491638
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Salty Food Consumption,0.0377986392019194,0.7272727272727273,0.08507575757575755,0.6284730962399251,1.637123745819398
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Sweet Food Consumption,0.03729445509783706,0.8181818181818182,0.05787878787878787,0.5700517472920245,1.8645484949832776
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Grain Products,0.07951280991976474,0.6363636363636364,0.03757575757575757,0.3261191587503598,2.003875968992248
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Protein Foods,0.038897141777342416,0.5454545454545454,0.01787878787878788,0.7106326117159855,3.1763565891472867
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Vegetables,0.016582123329488614,0.9090909090909092,0.09636363636363636,1.0,2.565891472868217
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Dairy Products,0.024439414551207198,0.6363636363636364,0.02303030303030303,0.4293370158058782,1.800387596899225
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Fruits,0.052274602579739184,0.7272727272727273,0.038181818181818185,0.36816770977907537,1.5310077519379846
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Fried Foods,0.03614809757410522,0.7272727272727273,0.047272727272727265,0.6674937815159662,1.7093023255813953
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),High Fat Meat,0.02670454374636367,0.5454545454545454,0.02484848484848485,0.7268512546956803,1.9728682170542635
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Processed Foods,0.04110733155034012,0.8181818181818182,0.07303030303030303,0.7547957832738247,1.7965116279069768
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Sugar-Sweetened Beverages,0.02598901747288702,0.4545454545454546,0.00909090909090909,0.5069045927220562,1.9709302325581395
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Additional Salt Use,0.04748644715470256,0.5454545454545454,0.018787878787878787,0.5659545934760815,1.7151162790697674
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Salty Food Consumption,0.034656246985969585,0.5454545454545454,0.015757575757575755,0.7190352309088086,1.9127906976744187
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),Sweet Food Consumption,0.04671244428004266,0.5454545454545454,0.03454545454545454,0.3166695352779429,2.0775193798449614
